ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
19925,LPG,U-Haul,4301 N Cicero Ave,,Chicago,IL,60641,,773-286-4507,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 8am-6pm Sun",A D M V Cash,,,,,,,,,,200-8,41.958736,-87.7471437,11/2/17,11/02/2017 12:26:11 PM +0000,P,,,,,,FALSE,,"(41.958736, -87.7471437)"
19926,LPG,U-Haul,1650 E 71st St,At Stoney Island,Chicago,IL,60649,,773-493-1206,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,41.7665149,-87.584051,11/2/17,11/02/2017 12:33:20 PM +0000,P,,,,,,FALSE,,"(41.7665149, -87.584051)"
19927,LPG,U-Haul,5027 W Cermak Rd,West of Cicero Ave before Laramie,Cicero,IL,60804,,708-656-8890,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A D M V Cash,,,,,,,,,,200-8,41.8508449,-87.7505816,11/2/17,11/02/2017 12:25:46 PM +0000,P,,,,,,TRUE,,"(41.8508449, -87.7505816)"
20844,E85,Citgo,4070 N Clark St,,Chicago,IL,60613,,773-528-3040,E,,Public,24 hours daily,A D M V Cash Wright_Exp,,,,,,,,,,200-8,41.9561272,-87.6636858,11/2/17,11/02/2017 12:30:37 PM +0000,P,,,8/15/00,,,,FALSE,"(41.9561272, -87.6636858)"
20845,E85,Kean Brothers Oil Co,2632 W 111th St,At Talman Ave,Chicago,IL,60655,,773-445-3626,E,,Public,"5:30am-10pm M-F, 6am-10pm Sat, 7am-8pm Sun",A D M V Cash,,,,,,,,,,200-8,41.691997,-87.687613,11/2/17,11/02/2017 12:30:24 PM +0000,P,,,1/15/01,,,,FALSE,"(41.691997, -87.687613)"
21197,LPG,Hicksgas,415 S Division St,,Braidwood,IL,60408,,815-458-2373,E,,Public - Call ahead,8am-5pm M-F,D M V Cash Checks,,,,,,,,,,200-8,41.255768,-88.22613,11/2/17,11/02/2017 12:30:04 PM +0000,P,,,,,,FALSE,,"(41.255768, -88.22613)"
21205,LPG,Hicksgas,1625 S Schuyler Ave,,Kankakee,IL,60901,,815-933-4464,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat",D M V Cash,,,,,,,,,,200-8,41.1015,-87.869962,11/2/17,11/02/2017 12:24:34 PM +0000,P,,,,,,FALSE,,"(41.1015, -87.869962)"
21207,LPG,Hicksgas,200 E Grand Ave,Next to tracks,Lake Villa,IL,60046,,847-356-8225,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat",D M V Cash,,,,,,,,,,200-8,42.4157329,-88.0783085,11/2/17,11/02/2017 12:30:20 PM +0000,P,,,,,,FALSE,,"(42.4157329, -88.0783085)"
21216,LPG,Hicksgas,1705 N McKinley Ave,,Rensselaer,IN,47978,,219-866-7322,E,,Public - Call ahead,8am-5pm M-F,D M V Cash,,,,,,,,,,200-8,40.9553361,-87.1513461,7/6/17,07/06/2017 12:24:29 PM +0000,P,,,,,,FALSE,,"(40.9553361, -87.1513461)"
21219,LPG,Hicksgas,5768 E State Rd 10,1 mile west of I-65 on the north side of Route 10 across from the CVS truck store,De Motte,IN,46310,,219-345-2641,E,,Public - Call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,41.1451149,-87.280238,3/3/17,03/03/2017 12:40:27 PM +0000,P,,,,,,FALSE,,"(41.1451149, -87.280238)"
21224,LPG,Hicksgas,1023 Lake Ave,"Northeast corner, at Route 47",Woodstock,IL,60098,,815-338-1296,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat",D M V Cash,,,,,,,,,,200-8,42.3049264,-88.4345054,11/2/17,11/02/2017 12:33:01 PM +0000,P,,,,,,FALSE,,"(42.3049264, -88.4345054)"
21926,LPG,AmeriGas,3501 S Cicero Ave,,Cicero,IL,60804,,888-442-0425,E,,Public,7:30am-4pm M-F,A M V Cash,,,,,,,,,,200-8,41.8290385,-87.7422892,11/2/17,11/02/2017 12:37:04 PM +0000,P,,,,,,FALSE,,"(41.8290385, -87.7422892)"
31671,E85,Family Express - Ameriplex,6250 Ameriplex Dr,,Portage,IN,46368,,219-764-3014,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.6078164,-87.1729483,7/6/17,07/06/2017 12:16:39 PM +0000,P,,,4/15/07,,,,FALSE,"(41.6078164, -87.1729483)"
23144,BD,Fleet Fueler,1285 N Ellis St,Corner of Devon and Ellis. Approximately 25 miles from downtown Chicago (5 miles west of O'Hare),Bensenville,IL,60106,,708-584-0240,E,,Private - Fleet customers only,24 hours daily; Call 800-244-0148 for access; Also accepts Bell Fuels card,CFN FuelMan PHH Voyager Wright_Exp,"B20 in summer, B11 in winter",,,,,,,,,200-8,41.9923822,-87.9502334,11/2/17,11/02/2017 12:37:37 PM +0000,P,,,9/22/03,,,,,"(41.9923822, -87.9502334)"
23236,CNG,Village of Downers Grove,5101 Walnut Ave,Walnut Ave and Curtis St.,Downers Grove,IL,60515,,630-434-5460,E,,Private - Fleet customers only,Call 630-434-5460 to set up fueling account,,,Q,3600,,,,,,,GPS,41.79347,-88.0517,11/2/17,11/02/2017 12:27:29 PM +0000,P,,,1/1/01,,HD,,,"(41.79347, -88.0517)"
24845,BD,Wilmette Park District - West Park Facility,3555 Lake Ave,At Laramie Road,Wilmette,IL,60091,,,E,,Private,,,B20,,,,,,,,,200-8,42.0795615,-87.7640215,11/2/17,11/02/2017 12:33:25 PM +0000,LG,,,3/15/05,,,,,"(42.0795615, -87.7640215)"
26878,E85,Argonne National Laboratory,9700 Cass Ave,At I-55 and Cass,Lemont,IL,60439,,,E,,Private,DOE fleet use only,,,,,,,,,,,GPS,41.714111,-87.964016,11/2/17,11/02/2017 12:35:17 PM +0000,FG,8,U.S. Department of Energy,4/15/05,,,,FALSE,"(41.714111, -87.964016)"
26879,E85,Fermi National Accelerator Laboratory - Fuel Service Center,Kirk Rd & Wilson St,,Batavia,IL,60510,,,E,,Private,DOE fleet use only,,,,,,,,,,,GPS,41.84901,-88.2594,9/6/17,09/06/2017 10:23:33 AM +0000,FG,8,U.S. Department of Energy,4/15/05,,,,FALSE,"(41.84901, -88.2594)"
26880,E85,Naval Station Great Lakes,2415 Spaulding St,Building 1506 ,Great Lakes,IL,60088,,,E,,Private - Government only,,,,,,,,,,,,200-8,42.317212,-87.851241,9/6/17,09/06/2017 10:14:26 AM +0000,FG,14,Department of Navy,4/15/05,,,,FALSE,"(42.317212, -87.851241)"
27010,E85,Road Ranger #237,909 E Roosevelt Rd,Just west of S Meyers Road on E Roosevelt Road (Illinois Route 38),Lombard,IL,60148,,815-239-6028,E,,Public,24 hours daily,D M V Cash Checks GasCard Voyager Wright_Exp,,,,,,,,,,GPS,41.860475,-87.994817,11/2/17,11/02/2017 12:28:14 PM +0000,P,,,5/15/05,,,,FALSE,"(41.860475, -87.994817)"
28307,E85,Speedway #1417,4032 US Highway 34,,Oswego,IL,60543,,630-551-3310,E,,Public,5am-11pm daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.6876955,-88.3385929,3/3/17,03/03/2017 12:47:43 PM +0000,P,,,6/15/05,,,,FALSE,"(41.6876955, -88.3385929)"
28311,E85,Speedway #1411,1300 W Normantown Rd,,Romeoville,IL,60490,,815-293-2740,E,,Public,24 hours daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,GPS,41.653589,-88.126517,3/3/17,03/03/2017 01:45:47 PM +0000,P,,,6/15/05,,,,FALSE,"(41.653589, -88.126517)"
28637,E85,Thorntons #125,2800 Ogden Ave,,Aurora,IL,60504,,630-820-6468,E,,Public,24 hours daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-9,41.7412198,-88.2463583,4/6/17,04/06/2017 09:10:14 AM +0000,P,,,7/15/06,,,,FALSE,"(41.7412198, -88.2463583)"
28770,E85,Speedway #1419,15060 S Bell Rd,,Homer Glen,IL,60491,,708-301-2388,E,,Public,5am-11pm daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.6150819,-87.9311578,3/3/17,03/03/2017 12:46:42 PM +0000,P,,,12/15/05,,,,FALSE,"(41.6150819, -87.9311578)"
29671,E85,Shell,750 E Higgins Rd,,Schaumburg,IL,60173,,847-843-2424,E,,Public,24 hours daily,A D M V Cash Wright_Exp,,,,,,,,,,200-8,42.041523,-88.060587,11/2/17,11/02/2017 12:33:22 PM +0000,P,,,6/15/05,,,,FALSE,"(42.041523, -88.060587)"
30229,E85,Minuteman Riverside,3346 S Harlem Ave,,Riverside,IL,60546,,708-447-3748,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.830269,-87.803278,11/2/17,11/02/2017 12:26:24 PM +0000,P,,,8/15/06,,,,FALSE,"(41.830269, -87.803278)"
30397,E85,Woodman's Grocery,151 Hansen Blvd,,North Aurora,IL,60542,,630-723-3900  877-798-3752,E,,Public,7:15am-7:45pm daily,D Cash Checks,,,,,,,,,,200-9,41.8043747,-88.3696053,11/2/17,11/02/2017 12:27:58 PM +0000,P,,,1/15/07,,,,FALSE,"(41.8043747, -88.3696053)"
30753,E85,Meijer Gas #170,10240 Indianapolis Blvd,,Highland,IN,46322,,219-934-2129,E,,Public,24 hours daily,A D M V Cash Checks Voyager Wright_Exp,,,,,,,,,,GPS,41.5280837,-87.4712663,7/6/17,07/06/2017 12:21:26 PM +0000,P,,,2/15/07,,,,FALSE,"(41.5280837, -87.4712663)"
30760,E85,Meijer Gas #165,505 US Route 30,,Merrillville,IN,46410,,219-650-3729,E,,Public,24 hours daily,A D M V Cash Checks Voyager Wright_Exp,,,,,,,,,,200-8,41.4708518,-87.3406432,7/6/17,07/06/2017 12:28:10 PM +0000,P,,,1/15/07,,,,FALSE,"(41.4708518, -87.3406432)"
30935,E85,Family Express - Valpo Market Place,204 Silhavy Rd,,Valparaiso,IN,46383,,219-477-1858,E,,Public,5am-12am daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.4699601,-87.0265285,7/6/17,07/06/2017 12:22:17 PM +0000,P,,,11/15/06,,,,FALSE,"(41.4699601, -87.0265285)"
30976,E85,Family Express - Hobart County Line Rd,9521 E Ridge Rd,,Hobart,IN,46342,,219-942-4978,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.5499766,-87.2221185,7/6/17,07/06/2017 12:18:01 PM +0000,P,,,3/15/07,,,,FALSE,"(41.5499766, -87.2221185)"
30978,E85,Family Express - Kersey,5449 W State Route 10,,Wheatfield,IN,46392,,219-987-4484,E,,Public,5am-10pm daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.187101,-87.150156,7/6/17,07/06/2017 12:27:27 PM +0000,P,,,4/15/07,,,,FALSE,"(41.187101, -87.150156)"
31203,E85,Shell,3301 W Howard St,,Skokie,IL,60076,,847-763-1921,E,,Public,24 hours daily,A D M V Cash Voyager,,,,,,,,,,200-8,42.019101,-87.7113515,11/2/17,11/02/2017 12:31:12 PM +0000,P,,,2/15/07,,,,FALSE,"(42.019101, -87.7113515)"
31669,E85,Family Express - Kouts,104 S Main St,At corner of State Road 49 and 8,Kouts,IN,46347,,219-766-2711,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.3182526,-87.0258436,7/6/17,07/06/2017 12:18:01 PM +0000,P,,,5/15/07,,,,FALSE,"(41.3182526, -87.0258436)"
43887,LPG,AmeriGas,1030 N Skokie Hwy,,Gurnee,IL,60031,,847-623-1555,E,,Public - Call ahead,7am-3:30pm M-F,A D M V Cash Checks,,,,,,,,,,200-8,42.3784686,-87.9109345,11/2/17,11/02/2017 12:30:17 PM +0000,P,,,,,,FALSE,,"(42.3784686, -87.9109345)"
31704,E85,Family Express - Chesterton,1681 Pioneer Trail,,Chesterton,IN,46304,,219-395-8804,E,,Public,4:30am-11pm daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.5940697,-87.0427356,7/6/17,07/06/2017 12:17:17 PM +0000,P,,,5/15/07,,,,TRUE,"(41.5940697, -87.0427356)"
32368,E85,Shell - Circle K,220 W Virginia St,At the corner of W Virginia and Keith,Crystal Lake,IL,60014,,815-459-7807,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-9,42.2278908,-88.3284781,11/2/17,11/02/2017 12:26:16 PM +0000,P,,,6/15/07,,,,FALSE,"(42.2278908, -88.3284781)"
32567,E85,Family Express - Winfield,8010 E 109th Ave,Corner of 109th and Randolph,Crown Point,IN,46307,,219-662-0686,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.420757,-87.238364,7/6/17,07/06/2017 12:18:56 PM +0000,P,,,3/15/07,,,,FALSE,"(41.420757, -87.238364)"
32569,E85,Family Express - Remington Interstate,4179 W US Highway 24,,Remington,IN,47977,,219-261-2788,E,,Public,5am-12am daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,40.765172,-87.1248279,7/6/17,07/06/2017 12:16:37 PM +0000,P,,,8/15/07,,,,FALSE,"(40.765172, -87.1248279)"
32648,E85,Aisha Wash and Fuel Island - Citgo,5549 W Diversey Ave,,Chicago,IL,60639,,773-889-0241,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.9310507,-87.7659989,11/2/17,11/02/2017 12:29:58 PM +0000,P,,,9/15/07,,,,FALSE,"(41.9310507, -87.7659989)"
32724,CNG,Trillium CNG,717 S Sylvania Ave,West of I-94 off Highway 20.,Sturtevant,WI,53177,,800-920-1166,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp EFS Tchek TCH Trillium,,Q,3000 3600,,,,,,,200-8,42.7241872,-87.9558046,10/4/16,10/16/2017 04:06:18 PM +0000,P,,,10/9/14,,HD,,,"(42.7241872, -87.9558046)"
32938,E85,River Auto Truck Plaza,24001 Lorenzo Rd,I-55 Exit 240,Wilmington,IL,60481,,815-476-4271,E,,Public,24 hours daily,A D M V Cash,,,,,,,,,,200-8,41.3468018,-88.1944131,11/2/17,11/02/2017 12:33:15 PM +0000,P,,,3/25/08,,,,FALSE,"(41.3468018, -88.1944131)"
32958,E85,Mobil North Damen Mart,2801 N Damen Ave,,Chicago,IL,60618,,773-528-0461,E,,Public,24 hours daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.9325108,-87.677964,11/2/17,11/02/2017 12:37:07 PM +0000,P,,,3/15/08,,,,FALSE,"(41.9325108, -87.677964)"
33063,HY,Gas Technology Institute,1700 S Mount Prospect Rd,"0.5 mile north of Touhy Ave, just north of O'Hare Airport",Des Plaines,IL,60018,,847-768-0500,E,,Private - Fleet customers only,Hydrogen fueling is available by arrangement; call 847-768-0500 to set up an arrangement,,,,,,,,,,,200-8,42.019954,-87.922412,8/2/17,08/02/2017 01:59:34 PM +0000,P,,,4/1/07,,,,,"(42.019954, -87.922412)"
33072,E85,Midway Mobil,8145 S Pulaski,,Chicago,IL,60652,,773-585-8912,E,,Public,24 hours daily,A D M V Cash FuelMan Voyager Wright_Exp,,,,,,,,,,200-8,41.7444381,-87.7214556,11/2/17,11/02/2017 12:37:06 PM +0000,P,,,5/15/08,,,,FALSE,"(41.7444381, -87.7214556)"
33084,E85,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.712605,-87.58196,11/2/17,11/02/2017 12:31:46 PM +0000,LG,,,6/15/08,,,,FALSE,"(41.712605, -87.58196)"
33085,E85,City of Chicago FS#5,4833 W Sunnyside,Sunnyside and Lamon,Chicago,IL,60630,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9625133,-87.7490375,11/2/17,11/02/2017 12:28:29 PM +0000,LG,,,6/15/08,,,,FALSE,"(41.9625133, -87.7490375)"
33086,E85,City of Chicago FS#3,4233 W Ferdinand,Ferdinand and Tripp,Chicago,IL,60624,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.8893383,-87.7303848,11/2/17,11/02/2017 12:36:36 PM +0000,LG,,,6/15/08,,,,FALSE,"(41.8893383, -87.7303848)"
33087,E85,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.776407,-87.6262226,11/2/17,11/02/2017 12:31:48 PM +0000,LG,,,3/15/10,,,,FALSE,"(41.776407, -87.6262226)"
33088,E85,City of Chicago FS#7,10000 W Montrose,O'Hare Airport,Chicago,IL,60666,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9593847,-87.8394487,11/2/17,11/02/2017 12:35:47 PM +0000,LG,,,6/15/08,,,,FALSE,"(41.9593847, -87.8394487)"
33089,E85,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.8257961,-87.6593772,11/2/17,11/02/2017 12:36:37 PM +0000,LG,,,10/15/08,,,,FALSE,"(41.8257961, -87.6593772)"
33141,CNG,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.712605,-87.58196,11/2/17,11/02/2017 12:31:46 PM +0000,LG,,,7/15/08,,HD,,,"(41.712605, -87.58196)"
33142,CNG,City of Chicago FS#5,4833 W Sunnyside,Sunnyside and Lamon,Chicago,IL,60630,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.9625133,-87.7490375,11/2/17,11/02/2017 12:28:29 PM +0000,LG,,,7/15/08,,HD,,,"(41.9625133, -87.7490375)"
33143,CNG,City of Chicago FS#3,4233 W Ferdinand,Ferdinand and Tripp,Chicago,IL,60624,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.8893383,-87.7303848,11/2/17,11/02/2017 12:36:36 PM +0000,LG,,,7/15/08,,HD,,,"(41.8893383, -87.7303848)"
33144,CNG,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.776407,-87.6262226,11/2/17,11/02/2017 12:31:48 PM +0000,LG,,,7/15/08,,HD,,,"(41.776407, -87.6262226)"
33146,CNG,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.8257961,-87.6593772,11/2/17,11/02/2017 12:36:37 PM +0000,LG,,,10/15/08,,HD,,,"(41.8257961, -87.6593772)"
33224,E85,Richmond Shell,10007 Main St,,Richmond,IL,60071,,815-678-2929,E,,Public,"5am-10pm M-Th, 5am-11pm F-Sat, 6am-10pm Sun",A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,42.4707065,-88.3069456,11/2/17,11/02/2017 12:37:11 PM +0000,P,,,7/15/08,,,,FALSE,"(42.4707065, -88.3069456)"
33246,E85,Gages Lake Shell,33978 N US 45,,Gages Lake,IL,60030,,847-223-9033,E,,Public,"5am-12am M-Sat, 7am-12am Sun",A D M V Cash Wright_Exp,,,,,,,,,,GPS,42.356644,-88.003008,11/2/17,11/02/2017 12:37:05 PM +0000,P,,,7/15/08,,,,FALSE,"(42.356644, -88.003008)"
33356,ELEC,Aurora Transportation Center,233 N Broadway,Parking spot reserved for electric vehicles,Aurora,IL,60505,,630-256-4636,E,,Public,24 hours daily,,,,,,2,,,,,200-8,41.7649421,-88.3076462,11/2/16,01/17/2017 07:27:52 PM +0000,LG,,,11/2/06,,,,,"(41.7649421, -88.3076462)"
33497,E85,Family Express #34 - Roselawn,11880 W State Route 10,"I-65, Exit 230",Roselawn,IN,46310,,219-345-4100,E,,Public,4am-11pm daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,GPS,41.144817,-87.273803,7/6/17,07/06/2017 12:16:21 PM +0000,P,,,9/1/08,,,,FALSE,"(41.144817, -87.273803)"
33534,CNG,Village of Homewood,17755 Ashland Ave,,Homewood,IL,60430,,,E,,Private - Government only,,,,B,3600,,,,,,,200-8,41.5670574,-87.654932,11/2/17,11/02/2017 12:32:39 PM +0000,LG,,,10/1/01,,MD,,,"(41.5670574, -87.654932)"
33536,CNG,Village of Oak Park,201 South Blvd,,Oak Park,IL,60302,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.887051,-87.7797975,11/2/17,11/02/2017 12:31:14 PM +0000,LG,,,4/15/02,,MD,,,"(41.887051, -87.7797975)"
33571,LPG,Forest Preserve District of DuPage County,29 W 220 Mack Rd,,West Chicago,IL,60185,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.8421803,-88.1856809,11/2/17,11/02/2017 12:36:24 PM +0000,LG,,,,,,FALSE,,"(41.8421803, -88.1856809)"
33777,E85,East Dundee Shell,1097 E Main St,,East Dundee,IL,60118,,847-428-4205,E,,Public,5am-12am daily,A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,42.0881641,-88.2449888,11/2/17,11/02/2017 12:28:11 PM +0000,P,,,1/1/07,,,,FALSE,"(42.0881641, -88.2449888)"
33934,E85,Minuteman Mobil - Lisle,5500 S Lincoln,,Lisle,IL,60532,,630-963-2810,E,,Public,"5am-11pm M-Th, 5am-12am F-Sat, 6am-10pm Sun",A D M V Cash Voyager Wright_Exp,,,,,,,,,,200-8,41.786069,-88.074572,11/2/17,11/02/2017 12:26:09 PM +0000,P,,,12/23/08,,,,FALSE,"(41.786069, -88.074572)"
35084,E85,City of Chicago FS#1,1701 N Throop,Throop and Wabansia,Chicago,IL,60642,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9138946,-87.6618722,11/2/17,11/02/2017 12:35:48 PM +0000,LG,,,6/15/09,,,,FALSE,"(41.9138946, -87.6618722)"
35095,E85,Kwik Trip #485,6 W Hidden Trail,"Pump 17 and 18, on Hwy 67/12, right in front of Hampton Inn, to right of McDonald's",Elkhorn,WI,53121,,262-723-7179,E,,Public,24 hours daily,Cash Checks A D M V FuelMan Voyager Wright_Exp,,,,,,,,,,GPS,42.694575,-88.54249,11/2/16,11/28/2017 04:02:25 PM +0000,P,,,10/22/09,,,,FALSE,"(42.694575, -88.54249)"
35124,E85,Marathon,2 W Lake St,,Northlake,IL,60164,,708-343-0201,E,,Public,24 hours daily,A D M V Cash Checks Voyager Wright_Exp,,,,,,,,,,200-8,41.900747,-87.8980541,11/2/17,11/02/2017 12:37:06 PM +0000,P,,,1/15/16,,,,FALSE,"(41.900747, -87.8980541)"
35270,ELEC,City of Chicago,1685 N Throop St,,Chicago,IL,60642,,,E,,Private,Fleet use only,,,,,1,,,,,,GPS,41.91435,-87.6622,11/2/16,01/17/2017 07:07:34 PM +0000,LG,,,8/15/09,,,,,"(41.91435, -87.6622)"
35533,E85,Power Mart,572 W Lake St,,Elmhurst,IL,60126,,630-592-4599,E,,Public,"5:30am-11pm M-F, 7am-12am Sat, 7am-10pm Sun",A D M V Cash,,,,,,,,,,200-8,41.919999,-87.959014,11/2/17,11/02/2017 12:28:38 PM +0000,P,,,10/15/17,,,,FALSE,"(41.919999, -87.959014)"
